Individual,Sex,Forward_reads,Reverse_reads,Family,Sire,Dam,Treatment.control,Quality.encoding
305912C,M,305912C_1.fq,305912C_2.fq,Fam30,30,59,Control,Illumina1.5
305913T,F,305913T_1.fq,305913T_2.fq,Fam30,30,59,Treatment,Illumina1.5
305914C,M,305914C_1.fq,305914C_2.fq,Fam30,30,59,Control,Illumina1.5
305915T,F,305915T_1.fq,305915T_2.fq,Fam30,30,59,Treatment,Illumina1.5
305916C,M,305916C_1.fq,305916C_2.fq,Fam30,30,59,Control,Illumina1.5
305921T,M,305921T_1.fq,305921T_2.fq,Fam30,30,59,Treatment,Illumina1.5
305922C,F,305922C_1.fq,305922C_2.fq,Fam30,30,59,Control,Illumina1.5
305923T,M,305923T_1.fq,305923T_2.fq,Fam30,30,59,Treatment,Illumina1.5
305924C,F,305924C_1.fq,305924C_2.fq,Fam30,30,59,Control,Illumina1.5
306011T,F,306011T_1.fq,306011T_2.fq,Fam30,30,60,Treatment,Illumina1.5
306012C,M,306012C_1.fq,306012C_2.fq,Fam30,30,60,Control,Illumina1.5
306013T,F,306013T_1.fq,306013T_2.fq,Fam30,30,60,Treatment,Illumina1.5
306014C,F,306014C_1.fq,306014C_2.fq,Fam30,30,60,Control,Illumina1.5
306015T,F,306015T_1.fq,306015T_2.fq,Fam30,30,60,Treatment,Illumina1.5
306016C,F,306016C_1.fq,306016C_2.fq,Fam30,30,60,Control,Illumina1.5
306021T,M,306021T_1.fq,306021T_2.fq,Fam30,30,60,Treatment,Illumina1.5
306022C,M,306022C_1.fq,306022C_2.fq,Fam30,30,60,Control,Illumina1.5
306023T,F,306023T_1.fq,306023T_2.fq,Fam30,30,60,Treatment,Illumina1.5
306024C,F,306024C_1.fq,306024C_2.fq,Fam30,30,60,Control,Illumina1.5
590000F,F,590000F_1.fq,590000F_2.fq,Fam30,0,0,Dam,Illumina1.5
600000F,F,600000F_1.fq,600000F_2.fq,Fam30,0,0,Dam,Illumina1.5
310000M,M,310000M_1.fq,310000M_2.fq,Fam31,0,0,Sire,Illumina1.5
316111T,M,316111T_1.fq,316111T_2.fq,Fam31,31,61,Treatment,Illumina1.5
316112C,F,316112C_1.fq,316112C_2.fq,Fam31,31,61,Control,Illumina1.5
316113T,F,316113T_1.fq,316113T_2.fq,Fam31,31,61,Treatment,Illumina1.5
316114C,M,316114C_1.fq,316114C_2.fq,Fam31,31,61,Control,Illumina1.5
316115T,F,316115T_1.fq,316115T_2.fq,Fam31,31,61,Treatment,Illumina1.5
316116C,M,316116C_1.fq,316116C_2.fq,Fam31,31,61,Control,Illumina1.5
316121T,M,316121T_1.fq,316121T_2.fq,Fam31,31,61,Treatment,Illumina1.5
316123T,M,316123T_1.fq,316123T_2.fq,Fam31,31,61,Treatment,Illumina1.5
316124C,F,316124C_1.fq,316124C_2.fq,Fam31,31,61,Control,Illumina1.5
316211T,F,316211T_1.fq,316211T_2.fq,Fam31,31,62,Treatment,Illumina1.5
316212C,F,316212C_1.fq,316212C_2.fq,Fam31,31,62,Control,Illumina1.5
316213T,M,316213T_1.fq,316213T_2.fq,Fam31,31,62,Treatment,Illumina1.5
316214C,F,316214C_1.fq,316214C_2.fq,Fam31,31,62,Control,Illumina1.5
316215T,M,316215T_1.fq,316215T_2.fq,Fam31,31,62,Treatment,Illumina1.5
316216C,M,316216C_1.fq,316216C_2.fq,Fam31,31,62,Control,Illumina1.5
316221T,M,316221T_1.fq,316221T_2.fq,Fam31,31,62,Treatment,Illumina1.5
316222C,F,316222C_1.fq,316222C_2.fq,Fam31,31,62,Control,Illumina1.5
316223T,F,316223T_1.fq,316223T_2.fq,Fam31,31,62,Treatment,Illumina1.5
316224C,M,316224C_1.fq,316224C_2.fq,Fam31,31,62,Control,Illumina1.5
610000F,F,610000F_1.fq,610000F_2.fq,Fam31,0,0,Dam,Illumina1.5
620000F,F,620000F_1.fq,620000F_2.fq,Fam31,0,0,Dam,Illumina1.5
320000M,M,320000M_1.fq,320000M_2.fq,Fam32,0,0,Sire,Illumina1.5
326311T,M,326311T_1.fq,326311T_2.fq,Fam32,32,63,Treatment,Illumina1.5
326312C,M,326312C_1.fq,326312C_2.fq,Fam32,32,63,Control,Illumina1.5
326313T,M,326313T_1.fq,326313T_2.fq,Fam32,32,63,Treatment,Illumina1.5
326314C,M,326314C_1.fq,326314C_2.fq,Fam32,32,63,Control,Illumina1.5
326315T,M,326315T_a_1.fq,326315T_a_2.fq,Fam32,32,63,Treatment,Illumina1.5
326315T,M,326315T_b_1.fq,326315T_b_2.fq,Fam32,32,63,Treatment,Sanger_Illumina 1.9
326316C,M,326316C_1.fq,326316C_2.fq,Fam32,32,63,Control,Illumina1.5
326321T,F,326321T_1.fq,326321T_2.fq,Fam32,32,63,Treatment,Illumina1.5
326323T,M,326323T_1.fq,326323T_2.fq,Fam32,32,63,Treatment,Illumina1.5
326324C,M,326324C_1.fq,326324C_2.fq,Fam32,32,63,Control,Illumina1.5
326411T,M,326411T_1.fq,326411T_2.fq,Fam32,32,64,Treatment,Illumina1.5
326412C,M,326412C_1.fq,326412C_2.fq,Fam32,32,64,Control,Illumina1.5
326413T,M,326413T_1.fq,326413T_2.fq,Fam32,32,64,Treatment,Illumina1.5
326414C,M,326414C_a_1.fq,326414C_a_2.fq,Fam32,32,64,Control,Illumina1.5
326414C,M,326414C_b_1.fq,326414C_b_2.fq,Fam32,32,64,Control,Illumina1.5
326415T,M,326415T_1.fq,326415T_2.fq,Fam32,32,64,Treatment,Illumina1.5
326416C,M,326416C_1.fq,326416C_2.fq,Fam32,32,64,Control,Illumina1.5
326421T,F,326421T_1.fq,326421T_2.fq,Fam32,32,64,Treatment,Illumina1.5
326422C,M,326422C_1.fq,326422C_2.fq,Fam32,32,64,Control,Illumina1.5
326424C,F,326424C_1.fq,326424C_2.fq,Fam32,32,64,Control,Illumina1.5
630000F,F,630000F_1.fq,630000F_2.fq,Fam32,0,0,Dam,Illumina1.5
640000F,F,640000F_1.fq,640000F_2.fq,Fam32,0,0,Dam,Illumina1.5
330000M,M,330000M_a_1.fq,330000M_a_2.fq,Fam33,0,0,Sire,Illumina1.5
330000M,M,330000M_b_1.fq,330000M_b_2.fq,Fam33,0,0,Sire,Sanger_Illumina 1.9
336512C,F,336512C_1.fq,336512C_2.fq,Fam33,33,65,Control,Sanger_Illumina 1.9
336513T,F,336513T_1.fq,336513T_2.fq,Fam33,33,65,Treatment,Illumina1.5
336514C,M,336514C_1.fq,336514C_2.fq,Fam33,33,65,Control,Illumina1.5
336515T,M,336515T_1.fq,336515T_2.fq,Fam33,33,65,Treatment,Sanger_Illumina 1.9
336516C,F,336516C_1.fq,336516C_2.fq,Fam33,33,65,Control,Sanger_Illumina 1.9
336522C,F,336522C_1.fq,336522C_2.fq,Fam33,33,65,Control,Illumina1.5
336523T,M,336523T_1.fq,336523T_2.fq,Fam33,33,65,Treatment,Sanger_Illumina 1.9
336524C,F,336524C_1.fq,336524C_2.fq,Fam33,33,65,Treatment,Sanger_Illumina 1.9
336611T,F,336611T_a_1.fq,336611T_a_2.fq,Fam33,33,66,Treatment,Illumina1.5
336611T,F,336611T_b_1.fq,336611T_b_2.fq,Fam33,33,66,Treatment,Illumina1.5
336612C,M,336612C_1.fq,336612C_2.fq,Fam33,33,66,Control,Illumina1.5
336621T,M,336621T_1.fq,336621T_2.fq,Fam33,33,66,Treatment,Illumina1.5
650000F,F,650000F_a_1.fq,650000F_a_2.fq,Fam33,0,0,Dam,Illumina1.5
650000F,F,650000F_b_1.fq,650000F_b_2.fq,Fam33,0,0,Dam,Sanger_Illumina 1.9
660000F,F,660000F_1.fq,660000F_2.fq,Fam33,0,0,Dam,Illumina1.5
340000M,M,340000M_1.fq,340000M_2.fq,Fam34,0,0,Sire,Illumina1.5
346711T,F,346711T_1.fq,346711T_2.fq,Fam34,34,67,Treatment,Illumina1.5
346712C,M,346712C_1.fq,346712C_2.fq,Fam34,34,67,Control,Illumina1.5
346713T,F,346713T_1.fq,346713T_2.fq,Fam34,34,67,Treatment,Illumina1.5
346714C,M,346714C_1.fq,346714C_2.fq,Fam34,34,67,Control,Illumina1.5
346715T,F,346715T_1.fq,346715T_2.fq,Fam34,34,67,Treatment,Illumina1.5
346716C,M,346716C_1.fq,346716C_2.fq,Fam34,34,67,Control,Illumina1.5
346721T,M,346721T_1.fq,346721T_2.fq,Fam34,34,67,Treatment,Illumina1.5
346722C,F,346722C_1.fq,346722C_2.fq,Fam34,34,67,Control,Illumina1.5
346723T,F,346723T_1.fq,346723T_2.fq,Fam34,34,67,Treatment,Illumina1.5
346724C,M,346724C_1.fq,346724C_2.fq,Fam34,34,67,Control,Illumina1.5
346812C,F,346812C_1.fq,346812C_2.fq,Fam34,34,68,Control,Illumina1.5
346813T,F,346813T_1.fq,346813T_2.fq,Fam34,34,68,Treatment,Illumina1.5
346814C,M,346814C_1.fq,346814C_2.fq,Fam34,34,68,Control,Illumina1.5
346816C,M,346816C_1.fq,346816C_2.fq,Fam34,34,68,Control,Illumina1.5
346822C,F,346822C_1.fq,346822C_2.fq,Fam34,34,68,Control,Illumina1.5
346823T,F,346823T_1.fq,346823T_2.fq,Fam34,34,68,Treatment,Illumina1.5
346824C,M,346824C_1.fq,346824C_2.fq,Fam34,34,68,Control,Illumina1.5
670000F,F,670000F_1.fq,670000F_2.fq,Fam34,0,0,Dam,Illumina1.5
680000F,F,680000F_1.fq,680000F_2.fq,Fam34,0,0,Dam,Illumina1.5
360000M,M,360000M_1.fq,360000M_2.fq,Fam36,0,0,Sire,Illumina1.5
367111T,F,367111T_1.fq,367111T_2.fq,Fam36,36,71,Treatment,Sanger_Illumina 1.9
367114C,F,367114C_1.fq,367114C_2.fq,Fam36,36,71,Control,Sanger_Illumina 1.9
367121T,M,367121T_1.fq,367121T_2.fq,Fam36,36,71,Treatment,Sanger_Illumina 1.9
367122C,F,367122C_1.fq,367122C_2.fq,Fam36,36,71,Control,Sanger_Illumina 1.9
367213T,M,367213T_1.fq,367213T_2.fq,Fam36,36,72,Treatment,Sanger_Illumina 1.9
367214C,F,367214C_1.fq,367214C_2.fq,Fam36,36,72,Control,Illumina1.5
367215T,M,367215T_1.fq,367215T_2.fq,Fam36,36,72,Treatment,Illumina1.5
367216C,M,367216C_1.fq,367216C_2.fq,Fam36,36,72,Control,Illumina1.5
710000F,F,710000F_1.fq,710000F_2.fq,Fam36,0,0,Dam,Illumina1.5
720000F,F,720000F_1.fq,720000F_2.fq,Fam36,0,0,Dam,Illumina1.5
370000M,M,370000M_1.fq,370000M_2.fq,Fam37,0,0,Sire,Illumina1.5
377311T,M,377311T_1.fq,377311T_2.fq,Fam37,37,73,Treatment,Illumina1.5
377312C,M,377312C_1.fq,377312C_2.fq,Fam37,37,73,Control,Illumina1.5
377313T,F,377313T_1.fq,377313T_2.fq,Fam37,37,73,Treatment,Illumina1.5
377314C,F,377314C_1.fq,377314C_2.fq,Fam37,37,73,Control,Illumina1.5
377315T,F,377315T_1.fq,377315T_2.fq,Fam37,37,73,Treatment,Illumina1.5
377316C,M,377316C_1.fq,377316C_2.fq,Fam37,37,73,Control,Illumina1.5
377321T,F,377321T_1.fq,377321T_2.fq,Fam37,37,73,Treatment,Illumina1.5
377322C,F,377322C_1.fq,377322C_2.fq,Fam37,37,73,Control,Illumina1.5
377323T,M,377323T_1.fq,377323T_2.fq,Fam37,37,73,Treatment,Illumina1.5
377324C,M,377324C_1.fq,377324C_2.fq,Fam37,37,73,Control,Illumina1.5
377412C,F,377412C_1.fq,377412C_2.fq,Fam37,37,74,Control,Illumina1.5
377413T,F,377413T_1.fq,377413T_2.fq,Fam37,37,74,Treatment,Illumina1.5
377415T,F,377415T_1.fq,377415T_2.fq,Fam37,37,74,Treatment,Illumina1.5
377416C,F,377416C_1.fq,377416C_2.fq,Fam37,37,74,Control,Illumina1.5
377421T,M,377421T_1.fq,377421T_2.fq,Fam37,37,74,Treatment,Illumina1.5
377423T,F,377423T_1.fq,377423T_2.fq,Fam37,37,74,Treatment,Illumina1.5
377424C,F,377424C_a_1.fq,377424C_a_2.fq,Fam37,37,74,Control,Illumina1.5
377424C,F,377424C_b_1.fq,377424C_b_2.fq,Fam37,37,74,Control,Sanger_Illumina 1.9
730000F,F,730000F_1.fq,730000F_2.fq,Fam37,0,0,Dam,Illumina1.5
740000F,F,740000F_1.fq,740000F_2.fq,Fam37,0,0,Dam,Illumina1.5
380000M,M,380000M_1.fq,380000M_2.fq,Fam38,0,0,Sire,Illumina1.5
387511T,M,387511T_1.fq,387511T_2.fq,Fam38,38,75,Treatment,Illumina1.5
387512C,M,387512C_1.fq,387512C_2.fq,Fam38,38,75,Control,Illumina1.5
387513T,M,387513T_1.fq,387513T_2.fq,Fam38,38,75,Treatment,Illumina1.5
387514C,F,387514C_1.fq,387514C_2.fq,Fam38,38,75,Control,Illumina1.5
387515T,F,387515T_1.fq,387515T_2.fq,Fam38,38,75,Treatment,Illumina1.5
387516C,M,387516C_1.fq,387516C_2.fq,Fam38,38,75,Control,Illumina1.5
387521T,F,387521T_1.fq,387521T_2.fq,Fam38,38,75,Treatment,Illumina1.5
387522C,M,387522C_1.fq,387522C_2.fq,Fam38,38,75,Control,Illumina1.5
387523T,F,387523T_1.fq,387523T_2.fq,Fam38,38,75,Treatment,Illumina1.5
387524C,M,387524C_1.fq,387524C_2.fq,Fam38,38,75,Control,Illumina1.5
387611T,M,387611T_1.fq,387611T_2.fq,Fam38,38,76,Treatment,Illumina1.5
387613T,M,387613T_1.fq,387613T_2.fq,Fam38,38,76,Treatment,Illumina1.5
387614C,M,387614C_1.fq,387614C_2.fq,Fam38,38,76,Control,Illumina1.5
387616C,F,387616C_1.fq,387616C_2.fq,Fam38,38,76,Control,Illumina1.5
387622C,M,387622C_1.fq,387622C_2.fq,Fam38,38,76,Control,Illumina1.5
387623T,F,387623T_1.fq,387623T_2.fq,Fam38,38,76,Treatment,Illumina1.5
387624C,F,387624C_1.fq,387624C_2.fq,Fam38,38,76,Control,Illumina1.5
760000F,F,760000F_1.fq,760000F_2.fq,Fam38,0,0,Dam,Illumina1.5
390000M,M,390000M_1.fq,390000M_2.fq,Fam39,0,0,Sire,Illumina1.5
397711T,M,397711T_1.fq,397711T_2.fq,Fam39,39,77,Treatment,Illumina1.5
397712C,F,397712C_1.fq,397712C_2.fq,Fam39,39,77,Control,Illumina1.5
397713T,F,397713T_1.fq,397713T_2.fq,Fam39,39,77,Treatment,Illumina1.5
397714C,F,397714C_1.fq,397714C_2.fq,Fam39,39,77,Control,Illumina1.5
397715T,F,397715T_1.fq,397715T_2.fq,Fam39,39,77,Treatment,Illumina1.5
397716C,M,397716C_1.fq,397716C_2.fq,Fam39,39,77,Control,Illumina1.5
397721T,F,397721T_1.fq,397721T_2.fq,Fam39,39,77,Treatment,Illumina1.5
397722C,F,397722C_1.fq,397722C_2.fq,Fam39,39,77,Control,Illumina1.5
397723T,F,397723T_1.fq,397723T_2.fq,Fam39,39,77,Treatment,Illumina1.5
397724C,M,397724C_1.fq,397724C_2.fq,Fam39,39,77,Control,Illumina1.5
397811T,M,397811T_1.fq,397811T_2.fq,Fam39,39,78,Treatment,Illumina1.5
397812C,M,397812C_1.fq,397812C_2.fq,Fam39,39,78,Control,Illumina1.5
397813T,M,397813T_1.fq,397813T_2.fq,Fam39,39,78,Treatment,Illumina1.5
397814C,M,397814C_1.fq,397814C_2.fq,Fam39,39,78,Control,Illumina1.5
397815T,F,397815T_1.fq,397815T_2.fq,Fam39,39,78,Treatment,Illumina1.5
397816C,F,397816C_1.fq,397816C_2.fq,Fam39,39,78,Control,Illumina1.5
397821T,M,397821T_1.fq,397821T_2.fq,Fam39,39,78,Treatment,Illumina1.5
397822C,F,397822C_1.fq,397822C_2.fq,Fam39,39,78,Control,Illumina1.5
397823T,F,397823T_1.fq,397823T_2.fq,Fam39,39,78,Treatment,Illumina1.5
397824C,F,397824C_1.fq,397824C_2.fq,Fam39,39,78,Control,Illumina1.5
770000F,F,770000F_1.fq,770000F_2.fq,Fam39,0,0,Dam,Illumina1.5
780000F,F,780000F_1.fq,780000F_2.fq,Fam39,0,0,Dam,Illumina1.5
407911T,M,407911T_1.fq,407911T_2.fq,Fam40,40,79,Treatment,Illumina1.5
407912C,F,407912C_1.fq,407912C_2.fq,Fam40,40,79,Control,Illumina1.5
407913T,M,407913T_1.fq,407913T_2.fq,Fam40,40,79,Treatment,Illumina1.5
407914C,F,407914C_1.fq,407914C_2.fq,Fam40,40,79,Control,Illumina1.5
407915T,F,407915T_1.fq,407915T_2.fq,Fam40,40,79,Treatment,Illumina1.5
407916C,M,407916C_1.fq,407916C_2.fq,Fam40,40,79,Control,Illumina1.5
407921T,M,407921T_1.fq,407921T_2.fq,Fam40,40,79,Treatment,Illumina1.5
407922C,F,407922C_1.fq,407922C_2.fq,Fam40,40,79,Control,Illumina1.5
407923T,F,407923T_1.fq,407923T_2.fq,Fam40,40,79,Treatment,Illumina1.5
407924T,F,407924T_1.fq,407924T_2.fq,Fam40,40,79,Treatment,Illumina1.5
408011T,F,408011T_1.fq,408011T_2.fq,Fam40,40,80,Treatment,Illumina1.5
408012C,F,408012C_1.fq,408012C_2.fq,Fam40,40,80,Control,Illumina1.5
408013T,M,408013T_1.fq,408013T_2.fq,Fam40,40,80,Treatment,Illumina1.5
408014C,F,408014C_1.fq,408014C_2.fq,Fam40,40,80,Control,Illumina1.5
408015T,M,408015T_1.fq,408015T_2.fq,Fam40,40,80,Treatment,Illumina1.5
408016C,M,408016C_1.fq,408016C_2.fq,Fam40,40,80,Control,Illumina1.5
408021T,M,408021T_1.fq,408021T_2.fq,Fam40,40,80,Treatment,Illumina1.5
408022C,M,408022C_1.fq,408022C_2.fq,Fam40,40,80,Control,Illumina1.5
408023T,F,408023T_1.fq,408023T_2.fq,Fam40,40,80,Treatment,Illumina1.5
408024C,F,408024C_1.fq,408024C_2.fq,Fam40,40,80,Control,Illumina1.5
790000F,F,790000F_1.fq,790000F_2.fq,Fam40,0,0,Dam,Illumina1.5
800000F,F,800000F_1.fq,800000F_2.fq,Fam40,0,0,Dam,Illumina1.5
